cont,n_est,max_samp,thr_pct,f1
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,1.0,0.4382633250970702
0.05,100,auto,2.0,0.44175620863872483
0.05,100,auto,3.0,0.44530521483394303
0.05,100,auto,4.0,0.44887924801156903
0.05,100,auto,5.0,0.45254410263886863
0.05,100,auto,6.0,0.45626929295898866
0.05,100,auto,7.0,0.45990810730695125
0.05,100,auto,8.0,0.46357318986774265
0.05,100,auto,9.0,0.4673347901439228
0.05,100,auto,10.0,0.4713124097575804
0.05,100,auto,11.0,0.47486204782342123
0.05,100,auto,12.0,0.4785095856524428
0.05,100,auto,13.0,0.4822208359326263
0.05,100,auto,14.0,0.486312146003776
0.05,100,auto,15.0,0.4901198317593842
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,1.0,0.4382633250970702
0.05,100,0.8,2.0,0.44175620863872483
0.05,100,0.8,3.0,0.44530521483394303
0.05,100,0.8,4.0,0.44887924801156903
0.05,100,0.8,5.0,0.45254410263886863
0.05,100,0.8,6.0,0.45626929295898866
0.05,100,0.8,7.0,0.4600563213279976
0.05,100,0.8,8.0,0.4638720765149817
0.05,100,0.8,9.0,0.4677869037751488
0.05,100,0.8,10.0,0.4717683714567976
0.05,100,0.8,11.0,0.4757817290006131
0.05,100,0.8,12.0,0.47990105132962274
0.05,100,0.8,13.0,0.4840923268870867
0.05,100,0.8,14.0,0.4883574575204531
0.05,100,0.8,15.0,0.4926593127529561
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,1.0,0.4382633250970702
0.05,200,auto,2.0,0.44175620863872483
0.05,200,auto,3.0,0.44530521483394303
0.05,200,auto,4.0,0.44887924801156903
0.05,200,auto,5.0,0.45254410263886863
0.05,200,auto,6.0,0.45626929295898866
0.05,200,auto,7.0,0.45990810730695125
0.05,200,auto,8.0,0.46357318986774265
0.05,200,auto,9.0,0.4674854946876648
0.05,200,auto,10.0,0.4713124097575804
0.05,200,auto,11.0,0.47532188841201717
0.05,200,auto,12.0,0.47943722943722944
0.05,200,auto,13.0,0.4836244541484716
0.05,200,auto,14.0,0.48772813089993705
0.05,200,auto,15.0,0.49138957225617014
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,1.0,0.4382633250970702
0.05,200,0.8,2.0,0.44175620863872483
0.05,200,0.8,3.0,0.44530521483394303
0.05,200,0.8,4.0,0.44887924801156903
0.05,200,0.8,5.0,0.45254410263886863
0.05,200,0.8,6.0,0.45626929295898866
0.05,200,0.8,7.0,0.4600563213279976
0.05,200,0.8,8.0,0.4638720765149817
0.05,200,0.8,9.0,0.4677869037751488
0.05,200,0.8,10.0,0.4717683714567976
0.05,200,0.8,11.0,0.4757817290006131
0.05,200,0.8,12.0,0.47990105132962274
0.05,200,0.8,13.0,0.4840923268870867
0.05,200,0.8,14.0,0.4883574575204531
0.05,200,0.8,15.0,0.4926593127529561
0.1,100,auto,0.0,0.43485570187727657
0.1,100,auto,1.0,0.4382633250970702
0.1,100,auto,2.0,0.44175620863872483
0.1,100,auto,3.0,0.44530521483394303
0.1,100,auto,4.0,0.44887924801156903
0.1,100,auto,5.0,0.45254410263886863
0.1,100,auto,6.0,0.45626929295898866
0.1,100,auto,7.0,0.45990810730695125
0.1,100,auto,8.0,0.46357318986774265
0.1,100,auto,9.0,0.4673347901439228
0.1,100,auto,10.0,0.4713124097575804
0.1,100,auto,11.0,0.47486204782342123
0.1,100,auto,12.0,0.4785095856524428
0.1,100,auto,13.0,0.4822208359326263
0.1,100,auto,14.0,0.486312146003776
0.1,100,auto,15.0,0.4901198317593842
0.1,100,auto,16.0,0.49403475058051083
0.1,100,auto,17.0,0.49818211198190193
0.1,100,auto,18.0,0.5018751019077123
0.1,100,auto,19.0,0.5056771433272996
0.1,100,auto,20.0,0.510214250124564
0.1,100,0.8,0.0,0.43485570187727657
0.1,100,0.8,1.0,0.4382633250970702
0.1,100,0.8,2.0,0.44175620863872483
0.1,100,0.8,3.0,0.44530521483394303
0.1,100,0.8,4.0,0.44887924801156903
0.1,100,0.8,5.0,0.45254410263886863
0.1,100,0.8,6.0,0.45626929295898866
0.1,100,0.8,7.0,0.4600563213279976
0.1,100,0.8,8.0,0.4638720765149817
0.1,100,0.8,9.0,0.4677869037751488
0.1,100,0.8,10.0,0.4717683714567976
0.1,100,0.8,11.0,0.4757817290006131
0.1,100,0.8,12.0,0.47990105132962274
0.1,100,0.8,13.0,0.4840923268870867
0.1,100,0.8,14.0,0.4883574575204531
0.1,100,0.8,15.0,0.4926593127529561
0.1,100,0.8,16.0,0.49707742813676037
0.1,100,0.8,17.0,0.5015755029490183
0.1,100,0.8,18.0,0.5061144627425403
0.1,100,0.8,19.0,0.5107783445779167
0.1,100,0.8,20.0,0.5155289818966949
0.1,200,auto,0.0,0.43485570187727657
0.1,200,auto,1.0,0.4382633250970702
0.1,200,auto,2.0,0.44175620863872483
0.1,200,auto,3.0,0.44530521483394303
0.1,200,auto,4.0,0.44887924801156903
0.1,200,auto,5.0,0.45254410263886863
0.1,200,auto,6.0,0.45626929295898866
0.1,200,auto,7.0,0.45990810730695125
0.1,200,auto,8.0,0.46357318986774265
0.1,200,auto,9.0,0.4674854946876648
0.1,200,auto,10.0,0.4713124097575804
0.1,200,auto,11.0,0.47532188841201717
0.1,200,auto,12.0,0.47943722943722944
0.1,200,auto,13.0,0.4836244541484716
0.1,200,auto,14.0,0.48772813089993705
0.1,200,auto,15.0,0.49138957225617014
0.1,200,auto,16.0,0.49499559612458965
0.1,200,auto,17.0,0.4991516522582209
0.1,200,auto,18.0,0.503179520626121
0.1,200,auto,19.0,0.5073226921178213
0.1,200,auto,20.0,0.5110446769639595
0.1,200,0.8,0.0,0.43485570187727657
0.1,200,0.8,1.0,0.4382633250970702
0.1,200,0.8,2.0,0.44175620863872483
0.1,200,0.8,3.0,0.44530521483394303
0.1,200,0.8,4.0,0.44887924801156903
0.1,200,0.8,5.0,0.45254410263886863
0.1,200,0.8,6.0,0.45626929295898866
0.1,200,0.8,7.0,0.4600563213279976
0.1,200,0.8,8.0,0.4638720765149817
0.1,200,0.8,9.0,0.4677869037751488
0.1,200,0.8,10.0,0.4717683714567976
0.1,200,0.8,11.0,0.4757817290006131
0.1,200,0.8,12.0,0.47990105132962274
0.1,200,0.8,13.0,0.4840923268870867
0.1,200,0.8,14.0,0.4883574575204531
0.1,200,0.8,15.0,0.4926593127529561
0.1,200,0.8,16.0,0.49707742813676037
0.1,200,0.8,17.0,0.5015755029490183
0.1,200,0.8,18.0,0.5061144627425403
0.1,200,0.8,19.0,0.5107783445779167
0.1,200,0.8,20.0,0.5155289818966949
0.2,100,auto,10.0,0.4713124097575804
0.2,100,auto,11.0,0.47486204782342123
0.2,100,auto,12.0,0.4785095856524428
0.2,100,auto,13.0,0.4822208359326263
0.2,100,auto,14.0,0.486312146003776
0.2,100,auto,15.0,0.4901198317593842
0.2,100,auto,16.0,0.49403475058051083
0.2,100,auto,17.0,0.49818211198190193
0.2,100,auto,18.0,0.5018751019077123
0.2,100,auto,19.0,0.5056771433272996
0.2,100,auto,20.0,0.510214250124564
0.2,100,auto,21.0,0.5139983235540654
0.2,100,auto,22.0,0.5181487435485236
0.2,100,auto,23.0,0.5224224822755617
0.2,100,auto,24.0,0.5255713669685209
0.2,100,auto,25.0,0.5294783593137682
0.2,100,auto,26.0,0.5341188884980654
0.2,100,auto,27.0,0.5383658969804618
0.2,100,auto,28.0,0.5418012199497668
0.2,100,auto,29.0,0.5452568632780647
0.2,100,auto,30.0,0.5484668192219679
0.2,100,0.8,10.0,0.4717683714567976
0.2,100,0.8,11.0,0.4757817290006131
0.2,100,0.8,12.0,0.47990105132962274
0.2,100,0.8,13.0,0.4840923268870867
0.2,100,0.8,14.0,0.4883574575204531
0.2,100,0.8,15.0,0.4926593127529561
0.2,100,0.8,16.0,0.49707742813676037
0.2,100,0.8,17.0,0.5015755029490183
0.2,100,0.8,18.0,0.5061144627425403
0.2,100,0.8,19.0,0.5107783445779167
0.2,100,0.8,20.0,0.5155289818966949
0.2,100,0.8,21.0,0.5203688181056161
0.2,100,0.8,22.0,0.5252559438192741
0.2,100,0.8,23.0,0.5302810284445204
0.2,100,0.8,24.0,0.5354031910306166
0.2,100,0.8,25.0,0.5406252721414264
0.2,100,0.8,26.0,0.5459022159690468
0.2,100,0.8,27.0,0.5513321492007105
0.2,100,0.8,28.0,0.5568711876569788
0.2,100,0.8,29.0,0.5624716861465978
0.2,100,0.8,30.0,0.5682379862700229
0.2,200,auto,10.0,0.4713124097575804
0.2,200,auto,11.0,0.47532188841201717
0.2,200,auto,12.0,0.47943722943722944
0.2,200,auto,13.0,0.4836244541484716
0.2,200,auto,14.0,0.48772813089993705
0.2,200,auto,15.0,0.49138957225617014
0.2,200,auto,16.0,0.49499559612458965
0.2,200,auto,17.0,0.4991516522582209
0.2,200,auto,18.0,0.503179520626121
0.2,200,auto,19.0,0.5073226921178213
0.2,200,auto,20.0,0.5110446769639595
0.2,200,auto,21.0,0.5148365465213747
0.2,200,auto,22.0,0.5188256197647855
0.2,200,auto,23.0,0.5231058341163406
0.2,200,auto,24.0,0.527468736524364
0.2,200,auto,25.0,0.5313942349560219
0.2,200,auto,26.0,0.5348223707351389
0.2,200,auto,27.0,0.5381882770870338
0.2,200,auto,28.0,0.5414424111948332
0.2,200,auto,29.0,0.5445320286309686
0.2,200,auto,30.0,0.5475514874141877
0.2,200,0.8,10.0,0.4717683714567976
0.2,200,0.8,11.0,0.4757817290006131
0.2,200,0.8,12.0,0.47990105132962274
0.2,200,0.8,13.0,0.4840923268870867
0.2,200,0.8,14.0,0.4883574575204531
0.2,200,0.8,15.0,0.4926593127529561
0.2,200,0.8,16.0,0.49707742813676037
0.2,200,0.8,17.0,0.5015755029490183
0.2,200,0.8,18.0,0.5061144627425403
0.2,200,0.8,19.0,0.5107783445779167
0.2,200,0.8,20.0,0.5155289818966949
0.2,200,0.8,21.0,0.5203688181056161
0.2,200,0.8,22.0,0.5252559438192741
0.2,200,0.8,23.0,0.5302810284445204
0.2,200,0.8,24.0,0.5354031910306166
0.2,200,0.8,25.0,0.5406252721414264
0.2,200,0.8,26.0,0.5459022159690468
0.2,200,0.8,27.0,0.5513321492007105
0.2,200,0.8,28.0,0.5568711876569788
0.2,200,0.8,29.0,0.5624716861465978
0.2,200,0.8,30.0,0.5682379862700229
